dataset,var,class
baseline,c2_nature_preg_8,haven_labelled/vctrs_vctr/double
baseline,c2_nature_preg_9,haven_labelled/vctrs_vctr/double
baseline,c2_nature_preg_10,haven_labelled/vctrs_vctr/double
baseline,c3_test_preg,haven_labelled/vctrs_vctr/double
baseline,c4_hospital_preg,numeric
baseline,c5_amount_preg,numeric
baseline,c6_selfmed_preg,numeric
baseline,c7_compare_preg,haven_labelled/vctrs_vctr/double
baseline,c8_illyesno_preg,haven_labelled/vctrs_vctr/double
baseline,c9_insu_preg,haven_labelled/vctrs_vctr/double
baseline,c10_seekcare_preg,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg,character
baseline,c11_disease_preg_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_2,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_3,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_5,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_6,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_7,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_8,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_9,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_10,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_11,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_12,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_13,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_14,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_15,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_16,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_17,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_18,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_19,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_20,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_21,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_22,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_23,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_24,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_25,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_26,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_27,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_28,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_29,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_30,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_31,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_32,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_33,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_34,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_35,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_36,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_37,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_38,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_39,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_40,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_41,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_42,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_43,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_44,haven_labelled/vctrs_vctr/double
baseline,c11_disease_preg_45,haven_labelled/vctrs_vctr/double
baseline,c12_diagnose_preg,haven_labelled/vctrs_vctr/double
baseline,c13_medication_preg,haven_labelled/vctrs_vctr/double
baseline,c14_meditake_preg,haven_labelled/vctrs_vctr/double
baseline,c15_format_preg,character
baseline,c15_format_preg_1,haven_labelled/vctrs_vctr/double
baseline,c15_format_preg_2,haven_labelled/vctrs_vctr/double
baseline,c15_format_preg_3,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_preg,character
baseline,c16_virtual_preg_1,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_preg_2,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_preg_3,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_preg_4,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_preg_5,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_preg_6,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_preg_7,haven_labelled/vctrs_vctr/double
baseline,c17_virtime_preg,numeric
baseline,c19_pertime_preg,numeric
baseline,c20_personlast_preg,haven_labelled/vctrs_vctr/double
baseline,c21_health_preg,numeric
baseline,c22_nonhealth_preg,numeric
baseline,c22b_total,numeric
baseline,c23_reimburse_preg,numeric
baseline,c24_stopnormal_preg,numeric
baseline,c25_assist_preg,character
baseline,c25_assist_preg_0,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_2,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_3,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_5,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_6,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_8,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_98,haven_labelled/vctrs_vctr/double
baseline,c25_assist_preg_7,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_preg,character
baseline,c26_nonsick_preg_1,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_preg_2,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_preg_3,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_preg_4,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_preg_5,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_preg_6,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_preg_7,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg,character
baseline,c27_notconsult_preg_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_2,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_3,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_5,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_6,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_7,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_8,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_9,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_10,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_11,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_12,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_13,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_14,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_15,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_16,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_17,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_18,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_19,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_20,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_21,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_22,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_23,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_24,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_preg_25,haven_labelled/vctrs_vctr/double
baseline,c28_inpatient_preg,haven_labelled/vctrs_vctr/double
baseline,c29_insu_preg,haven_labelled/vctrs_vctr/double
baseline,c30_episode_preg,numeric
baseline,c31_disease_preg,character
baseline,c31_disease_preg_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_2,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_3,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_4,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_5,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_6,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_7,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_8,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_9,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_10,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_11,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_12,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_13,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_14,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_15,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_16,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_17,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_18,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_19,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_20,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_21,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_22,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_23,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_24,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_25,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_42,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_41,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_40,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_39,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_38,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_37,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_36,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_35,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_34,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_33,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_32,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_31,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_30,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_29,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_28,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_27,haven_labelled/vctrs_vctr/double
baseline,c31_disease_preg_26,haven_labelled/vctrs_vctr/double
baseline,c32_opd_preg,haven_labelled/vctrs_vctr/double
baseline,c33_hospital_preg,haven_labelled/vctrs_vctr/double
baseline,c34_stopnormal_preg,numeric
baseline,c35_days_preg,numeric
baseline,c36_health_preg,numeric
baseline,c37_nonhealth_preg,numeric
baseline,c37b_total,numeric
baseline,c38_reimburse_preg,numeric
baseline,c1_time_u7_1,numeric
baseline,c2_nature_u7_1,character
baseline,c2_nature_u7_1_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_2_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_3_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_4_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_5_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_6_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_7_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_8_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_9_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_10_1,haven_labelled/vctrs_vctr/double
baseline,c3_test_u7_1,haven_labelled/vctrs_vctr/double
baseline,c4_hospital_u7_1,numeric
baseline,c5_amount_u7_1,numeric
baseline,c6_selfmed_u7_1,numeric
baseline,c7_compare_u7_1,haven_labelled/vctrs_vctr/double
baseline,c8_illyesno_u7_1,haven_labelled/vctrs_vctr/double
baseline,c9_insu_u7_1,haven_labelled/vctrs_vctr/double
baseline,c10_seekcare_u7_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_1,character
baseline,c11_disease_u7_1_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_2_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_3_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_4_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_5_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_6_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_7_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_8_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_9_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_10_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_11_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_12_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_13_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_14_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_15_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_16_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_17_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_18_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_19_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_45_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_44_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_43_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_42_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_41_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_40_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_39_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_38_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_37_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_36_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_35_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_34_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_33_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_32_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_31_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_30_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_29_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_28_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_27_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_26_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_25_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_24_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_23_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_22_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_21_1,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_20_1,haven_labelled/vctrs_vctr/double
baseline,c12_diagnose_u7_1,haven_labelled/vctrs_vctr/double
baseline,c13_medication_u7_1,haven_labelled/vctrs_vctr/double
baseline,c14_meditake_u7_1,haven_labelled/vctrs_vctr/double
baseline,c15_format_u7_1,character
baseline,c15_format_u7_1_1,haven_labelled/vctrs_vctr/double
baseline,c15_format_u7_2_1,haven_labelled/vctrs_vctr/double
baseline,c15_format_u7_3_1,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_u7_1,character
baseline,c16_virtual_u7_1_1,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_u7_2_1,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_u7_3_1,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_u7_4_1,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_u7_5_1,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_u7_6_1,haven_labelled/vctrs_vctr/double
baseline,c16_virtual_u7_7_1,haven_labelled/vctrs_vctr/double
baseline,c17_virtime_u7_1,numeric
baseline,c19_pertime_u7_1,numeric
baseline,c20_personlast_u7_1,haven_labelled/vctrs_vctr/double
baseline,c21_health_u7_1,numeric
baseline,c22_nonhealth_u7_1,numeric
baseline,c22b_u7_total_1,numeric
baseline,c23_reimburse_u7_1,numeric
baseline,c24_stopnormal_u7_1,numeric
baseline,c25_assist_u7_1,character
baseline,c25_assist_u7_0_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_1_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_2_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_3_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_4_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_5_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_6_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_8_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_7_1,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_98_1,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_u7_1,character
baseline,c26_nonsick_u7_1_1,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_u7_2_1,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_u7_3_1,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_u7_4_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_1,character
baseline,c27_notconsult_u7_1_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_2_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_3_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_4_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_5_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_6_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_7_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_8_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_9_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_10_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_11_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_12_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_13_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_14_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_15_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_16_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_17_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_18_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_19_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_20_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_21_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_22_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_23_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_24_1,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_25_1,haven_labelled/vctrs_vctr/double
baseline,c28_inpatient_u7_1,haven_labelled/vctrs_vctr/double
baseline,c29_insu_u7_1,numeric
baseline,c30_episode_u7_1,numeric
baseline,c31_disease_u7_1,character
baseline,c31_disease_u7_1_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_2_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_3_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_4_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_5_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_6_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_7_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_8_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_9_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_10_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_11_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_12_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_13_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_14_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_15_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_16_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_17_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_18_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_19_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_20_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_21_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_22_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_23_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_24_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_25_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_42_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_41_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_40_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_39_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_38_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_37_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_36_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_35_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_34_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_33_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_32_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_31_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_30_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_29_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_28_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_27_1,haven_labelled/vctrs_vctr/double
baseline,c31_disease_u7_26_1,haven_labelled/vctrs_vctr/double
baseline,c32_opd_u7_1,haven_labelled/vctrs_vctr/double
baseline,c33_hospital_u7_1,haven_labelled/vctrs_vctr/double
baseline,c34_stopnormal_u7_1,numeric
baseline,c35_days_u7_1,numeric
baseline,c36_health_u7_1,numeric
baseline,c37_nonhealth_u7_1,numeric
baseline,c37b_u7_total_1,numeric
baseline,c38_reimburse_u7_1,numeric
baseline,c1_time_u7_2,numeric
baseline,c2_nature_u7_2,character
baseline,c2_nature_u7_1_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_2_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_3_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_4_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_5_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_6_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_7_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_8_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_9_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_u7_10_2,haven_labelled/vctrs_vctr/double
baseline,c3_test_u7_2,haven_labelled/vctrs_vctr/double
baseline,c4_hospital_u7_2,numeric
baseline,c5_amount_u7_2,numeric
baseline,c6_selfmed_u7_2,numeric
baseline,c7_compare_u7_2,haven_labelled/vctrs_vctr/double
baseline,c8_illyesno_u7_2,haven_labelled/vctrs_vctr/double
baseline,c9_insu_u7_2,numeric
baseline,c10_seekcare_u7_2,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_2,character
baseline,c11_disease_u7_1_2,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_2_2,haven_labelled/vctrs_vctr/double
