wave,column
endline,c31_disease_u7_6_4
endline,c31_disease_u7_7_4
endline,c31_disease_u7_8_4
endline,c31_disease_u7_9_4
endline,c31_disease_u7_10_4
endline,c31_disease_u7_11_4
endline,c31_disease_u7_12_4
endline,c31_disease_u7_13_4
endline,c31_disease_u7_14_4
endline,c31_disease_u7_15_4
endline,c31_disease_u7_16_4
endline,c31_disease_u7_17_4
endline,c31_disease_u7_18_4
endline,c31_disease_u7_19_4
endline,c31_disease_u7_20_4
endline,c31_disease_u7_21_4
endline,c31_disease_u7_22_4
endline,c31_disease_u7_23_4
endline,c31_disease_u7_24_4
endline,c31_disease_u7_25_4
endline,c31_disease_u7_26_4
endline,c31_disease_u7_27_4
endline,c31_disease_u7_28_4
endline,c31_disease_u7_29_4
endline,c31_disease_u7_30_4
endline,c31_disease_u7_31_4
endline,c31_disease_u7_32_4
endline,c31_disease_u7_33_4
endline,c31_disease_u7_34_4
endline,c31_disease_u7_35_4
endline,c31_disease_u7_36_4
endline,c31_disease_u7_37_4
endline,c31_disease_u7_38_4
endline,c31_disease_u7_39_4
endline,c31_disease_u7_40_4
endline,c31_disease_u7_41_4
endline,c31_disease_u7_42_4
endline,c31_disease_u7_43_4
endline,c31_disease_u7_44_4
endline,c32_opd_u7_4
endline,c33_hospital_u7_4
endline,c34_stopnormal_u7_4
endline,c35_days_u7_4
endline,c36_health_u7_4
endline,c37_nonhealth_u7_4
endline,c38_reimburse_u7_4
endline,c38_u7_live_4
endline,ind_id
endline,strata
endline,group_raw
endline,treat
midline,c16_virtual_preg
midline,c16_virtual_preg_1
midline,c16_virtual_preg_2
midline,c16_virtual_preg_3
midline,c16_virtual_preg_4
midline,c16_virtual_preg_5
midline,c16_virtual_preg_6
midline,c16_virtual_preg_7
midline,c17_virtime_preg
midline,c18_virlast_preg
midline,c38_reimburse_u7_1
midline,c16_virtual_u7_3
midline,c16_virtual_u7_1_3
midline,c16_virtual_u7_2_3
midline,c16_virtual_u7_3_3
midline,c16_virtual_u7_4_3
midline,c16_virtual_u7_5_3
midline,c16_virtual_u7_6_3
midline,c16_virtual_u7_7_3
midline,c17_virtime_u7_3
midline,c18_virlast_u7_3
midline,c23_reimburse_u7_3
midline,c30_episode_u7_3
midline,c31_disease_u7_3
midline,c31_disease_u7_1_3
midline,c31_disease_u7_2_3
midline,c31_disease_u7_3_3
midline,c31_disease_u7_4_3
midline,c31_disease_u7_5_3
midline,c31_disease_u7_6_3
midline,c31_disease_u7_7_3
midline,c31_disease_u7_8_3
midline,c31_disease_u7_9_3
midline,c31_disease_u7_10_3
midline,c31_disease_u7_11_3
midline,c31_disease_u7_12_3
midline,c31_disease_u7_13_3
midline,c31_disease_u7_14_3
midline,c31_disease_u7_15_3
midline,c31_disease_u7_16_3
midline,c31_disease_u7_17_3
midline,c31_disease_u7_18_3
midline,c31_disease_u7_19_3
midline,c31_disease_u7_20_3
midline,c31_disease_u7_21_3
midline,c31_disease_u7_22_3
midline,c31_disease_u7_23_3
midline,c31_disease_u7_24_3
midline,c31_disease_u7_25_3
midline,c31_disease_u7_26_3
midline,c31_disease_u7_27_3
midline,c31_disease_u7_28_3
midline,c31_disease_u7_29_3
midline,c31_disease_u7_30_3
midline,c31_disease_u7_31_3
midline,c31_disease_u7_32_3
midline,c31_disease_u7_33_3
midline,c31_disease_u7_34_3
midline,c31_disease_u7_35_3
midline,c31_disease_u7_36_3
midline,c31_disease_u7_37_3
midline,c31_disease_u7_38_3
midline,c31_disease_u7_39_3
midline,c31_disease_u7_40_3
midline,c31_disease_u7_41_3
midline,c31_disease_u7_42_3
midline,c32_opd_u7_3
midline,c33_hospital_u7_3
midline,c34_stopnormal_u7_3
midline,c35_days_u7_3
midline,c36_health_u7_3
midline,c37_nonhealth_u7_3
midline,c37b_u7_total_3
midline,c38_reimburse_u7_3
midline,c10_seekcare_u7_4
midline,c11_disease_u7_4
midline,c11_disease_u7_1_4
midline,c11_disease_u7_2_4
midline,c11_disease_u7_3_4
midline,c11_disease_u7_4_4
midline,c11_disease_u7_5_4
midline,c11_disease_u7_6_4
midline,c11_disease_u7_7_4
midline,c11_disease_u7_8_4
midline,c11_disease_u7_9_4
midline,c11_disease_u7_10_4
midline,c11_disease_u7_11_4
midline,c11_disease_u7_12_4
midline,c11_disease_u7_13_4
midline,c11_disease_u7_14_4
midline,c11_disease_u7_15_4
midline,c11_disease_u7_16_4
midline,c11_disease_u7_17_4
midline,c11_disease_u7_18_4
midline,c11_disease_u7_19_4
midline,c11_disease_u7_20_4
midline,c11_disease_u7_21_4
midline,c11_disease_u7_22_4
midline,c11_disease_u7_23_4
midline,c11_disease_u7_24_4
midline,c11_disease_u7_25_4
midline,c11_disease_u7_26_4
midline,c11_disease_u7_27_4
midline,c11_disease_u7_28_4
midline,c11_disease_u7_29_4
midline,c11_disease_u7_30_4
midline,c11_disease_u7_31_4
midline,c11_disease_u7_32_4
midline,c11_disease_u7_33_4
midline,c11_disease_u7_34_4
midline,c11_disease_u7_35_4
midline,c11_disease_u7_36_4
midline,c11_disease_u7_37_4
midline,c11_disease_u7_38_4
midline,c11_disease_u7_39_4
midline,c11_disease_u7_40_4
midline,c11_disease_u7_41_4
midline,c11_disease_u7_42_4
midline,c11_disease_u7_43_4
midline,c11_disease_u7_44_4
midline,c11_disease_u7_45_4
midline,c11_disease_u7_48_4
midline,c11_disease_u7_47_4
midline,c11_disease_u7_46_4
midline,c12_diagnose_u7_4
midline,c13_medication_u7_4
midline,c14_meditake_u7_4
midline,c15_format_u7_4
midline,c15_format_u7_1_4
midline,c15_format_u7_2_4
midline,c15_format_u7_3_4
midline,c16_virtual_u7_4
midline,c16_virtual_u7_1_4
midline,c16_virtual_u7_2_4
midline,c16_virtual_u7_3_4
midline,c16_virtual_u7_4_4
midline,c16_virtual_u7_5_4
midline,c16_virtual_u7_6_4
midline,c16_virtual_u7_7_4
midline,c17_virtime_u7_4
midline,c18_virlast_u7_4
midline,c19_pertime_u7_4
midline,c20_personlast_u7_4
midline,c21_health_u7_4
midline,c22_nonhealth_u7_4
midline,c22b_u7_total_4
midline,c23_reimburse_u7_4
midline,c24_stopnormal_u7_4
midline,c27_notconsult_u7_4
midline,c27_notconsult_u7_1_4
midline,c27_notconsult_u7_2_4
midline,c27_notconsult_u7_3_4
midline,c27_notconsult_u7_4_4
midline,c27_notconsult_u7_5_4
midline,c27_notconsult_u7_6_4
midline,c27_notconsult_u7_7_4
midline,c27_notconsult_u7_8_4
midline,c27_notconsult_u7_9_4
midline,c27_notconsult_u7_10_4
midline,c27_notconsult_u7_11_4
midline,c27_notconsult_u7_12_4
midline,c27_notconsult_u7_13_4
midline,c27_notconsult_u7_14_4
midline,c27_notconsult_u7_15_4
midline,c27_notconsult_u7_16_4
midline,c27_notconsult_u7_17_4
midline,c27_notconsult_u7_18_4
midline,c27_notconsult_u7_19_4
midline,c27_notconsult_u7_20_4
midline,c27_notconsult_u7_21_4
midline,c27_notconsult_u7_22_4
midline,c27_notconsult_u7_23_4
midline,c27_notconsult_u7_24_4
midline,c27_notconsult_u7_25_4
midline,c30_episode_u7_4
midline,c31_disease_u7_4
midline,c31_disease_u7_1_4
midline,c31_disease_u7_2_4
midline,c31_disease_u7_3_4
midline,c31_disease_u7_4_4
midline,c31_disease_u7_5_4
midline,c31_disease_u7_6_4
midline,c31_disease_u7_7_4
midline,c31_disease_u7_8_4
midline,c31_disease_u7_9_4
midline,c31_disease_u7_10_4
midline,c31_disease_u7_11_4
midline,c31_disease_u7_12_4
midline,c31_disease_u7_13_4
midline,c31_disease_u7_14_4
midline,c31_disease_u7_15_4
midline,c31_disease_u7_16_4
midline,c31_disease_u7_17_4
midline,c31_disease_u7_18_4
midline,c31_disease_u7_19_4
midline,c31_disease_u7_20_4
midline,c31_disease_u7_21_4
midline,c31_disease_u7_22_4
midline,c31_disease_u7_23_4
midline,c31_disease_u7_24_4
midline,c31_disease_u7_25_4
midline,c31_disease_u7_26_4
midline,c31_disease_u7_27_4
midline,c31_disease_u7_28_4
midline,c31_disease_u7_29_4
midline,c31_disease_u7_30_4
midline,c31_disease_u7_31_4
midline,c31_disease_u7_32_4
midline,c31_disease_u7_33_4
midline,c31_disease_u7_34_4
midline,c31_disease_u7_35_4
midline,c31_disease_u7_36_4
midline,c31_disease_u7_37_4
midline,c31_disease_u7_38_4
midline,c31_disease_u7_39_4
midline,c31_disease_u7_40_4
midline,c31_disease_u7_41_4
midline,c31_disease_u7_42_4
midline,c32_opd_u7_4
midline,c33_hospital_u7_4
midline,c34_stopnormal_u7_4
midline,c35_days_u7_4
midline,c36_health_u7_4
midline,c37_nonhealth_u7_4
midline,c37b_u7_total_4
midline,c38_reimburse_u7_4
midline,e3e_half_3
midline,e3e_half_4
midline,ind_id
