wave,var,label
endline,c11_disease_preg_15,C11. Diabetes
endline,c11_disease_preg_16,C11. Nausea and vomiting
endline,c11_disease_preg_17,"C11. Accidents (motorbike/car accidents, etc)"
endline,c11_disease_preg_18,C11. Occupational injuries or other injuries
endline,c11_disease_preg_19,C11. Oral disease
endline,c11_disease_preg_20,C11. Low blood pressure/hypotension
endline,c11_disease_preg_21,"C11. Complications of pregnancy (diziness, bleeding, pain,weakness)"
endline,c11_disease_preg_22,C11. Heart disease
endline,c11_disease_preg_23,C11. Sore throat
endline,c11_disease_preg_24,C11. Muscle and joint pain
endline,c11_disease_preg_25,C11. Food poison
endline,c11_disease_preg_26,C11. Gastritics
endline,c11_disease_preg_27,C11. Urinary tract infection(UTI)
endline,c11_disease_preg_28,C11. Neurological disorders/headache
endline,c11_disease_preg_29,C11. Constipation
endline,c11_disease_preg_30,C11. Pneumonia/AVI/Other respiratory tract infections
endline,c11_disease_preg_31,C11. Asthema
endline,c11_disease_preg_32,C11. Intestinal worms
endline,c11_disease_preg_33,C11. Bone demorfimty
endline,c11_disease_preg_34,C11. Indigestion
endline,c11_disease_preg_35,C11. Hydrocephalus
endline,c11_disease_preg_36,C11. Bloating
endline,c11_disease_preg_37,C11. Ear infection
endline,c11_disease_preg_38,C11. Epistasis
endline,c11_disease_preg_39,C11. Epilepsy/seizure
endline,c11_disease_preg_40,C11. Paralysis
endline,c11_disease_preg_41,C11. Medical checkup/investigations
endline,c11_disease_preg_42,C11. Weakness
endline,c11_disease_preg_43,C11. Back pain
endline,c11_disease_preg_44,C11. Jaundice
endline,c11_disease_preg_45,C11. Eyes disease/eyes infection
endline,c11_disease_preg_46,C11. Liver and biliary tract disease
endline,c11_disease_preg_47,C11. Lump
endline,c11_disease_preg_48,C11. Cancer
endline,c11_disease_preg_98,C11. Don't know
endline,c11_disease_preg_97,C11. Prefer not to answer
endline,c12_diagnose_preg,C12.Were any diagnostic / lab tests performed on [${preg_name}] as a part of th
endline,c13_medication_preg,C13.Did the provider prescribe [${preg_name}] any medications as a part of the
endline,c14_meditake_preg,C14.Did [${preg_name}] take the medicines prescribed by the provider?
endline,c15_format_preg,"C15.For [${preg_name}] in the past 30 days, what was the format of seeking medi"
endline,c15_format_preg_1,C15. In person
endline,c15_format_preg_2,C15. Telemdicine only
endline,c15_format_preg_3,C15. Mix of inperson and telemedcicne
endline,c16_virtual_preg,"C16.During the past 30 days, select all the ways [${preg_name}] ever communicat"
endline,c16_virtual_preg_1,C16. Text Message
endline,c16_virtual_preg_2,C16. Email
endline,c16_virtual_preg_3,"C16. Messaging within a website (e.g., patient portal, viber, telegram, messenge"
endline,c16_virtual_preg_4,C16. Phone calls
endline,c16_virtual_preg_5,"C16. Videoconference (e.g viber, telegram, messenger)"
endline,c16_virtual_preg_6,"C16. Audioconference (e.g viber, telegram, messenger)"
endline,c16_virtual_preg_7,C16. eVisit (when you answer questions about your health issue online and hear b
endline,c17_virtime_preg,"C17.During the past 30 days, how many times did [${preg_name}] have telemedicin"
endline,c18_virlast_preg,"C18.For the most recent telemedicine consultation in the last 30 days, where did"
endline,c19_pertime_preg,"C19.During the past 30 days, how many in-person consultation visits did [${preg"
endline,c20_personlast_preg,"C20.For your most recent visit in the past 30 days, where did [${preg_name}] ge"
endline,filter_lastformat,I'd like to ask the cost for the most recent visit. Since the respondent used bo
endline,c21_health_preg,"C21. For [${preg_name}]'s most recent visit/interaction, how much money was spe"
endline,c22_nonhealth_preg,"C22.For [${preg_name}]'s most recent visit/interaction, how much money was spen"
endline,c23_reimburse_preg,"C23.For [NAME's] most recent visit/interaction, how much did that ${c9_insu_pre"
endline,c24_stopnormal_preg,"C24.For the most recent visit in the past 30 days, how many days did [${preg_na"
endline,c25_assist_preg,C25.Does [${preg_name}] or someone in his/her household currently receiving ass
endline,c25_assist_preg_0,C25. None
endline,c25_assist_preg_1,C25. Save the children
endline,c25_assist_preg_2,C25. LIFT
endline,c25_assist_preg_3,C25. MCCT
endline,c25_assist_preg_4,C25. UNICEF
endline,c25_assist_preg_5,C25. World Food Program (WFP)
endline,c25_assist_preg_6,C25. Local charity organizations
endline,c25_assist_preg_7,C25. TdH
endline,c25_assist_preg_8,C25. Myat Wynn Lay Myar group
endline,c25_assist_preg_9,C25. Bright Start/Common Health
endline,c25_assist_preg_10,C25. Private donors
endline,c25_assist_preg_11,C25. Pact Myanmar
endline,c25_assist_preg_12,C25. International Labour Organization (ILO)
endline,c25_assist_preg_97,C25. Prefer not to answer
endline,c25_assist_preg_98,C25. Don't know
endline,c26_nonsick_preg,"C26.Although you weren't [NAME wasn't] sick/ wounded, did you [he/she] consult a"
endline,c26_nonsick_preg_1,C26. Prenatal care
endline,c26_nonsick_preg_2,C26. Childbirth
endline,c26_nonsick_preg_3,C26. General check-up
endline,c26_nonsick_preg_4,C26. Family planning
endline,c26_nonsick_preg_5,C26. Covid-19 vaccination
endline,c26_nonsick_preg_6,C26. Other vaccination
endline,c26_nonsick_preg_7,C26. Didn't go to heath care facillity or consult with health care provider
endline,c27_notconsult_preg,C27.Why did [${preg_name}] not consult anyone or seek treatment? [Select all th
endline,c27_notconsult_preg_1,C27. Not serious illness
endline,c27_notconsult_preg_2,C27. Self-treated
endline,c27_notconsult_preg_3,C27. No money for treatment
endline,c27_notconsult_preg_4,C27. Too far
endline,c27_notconsult_preg_5,C27. Poor services
endline,c27_notconsult_preg_6,C27. Not safe
endline,c27_notconsult_preg_7,C27. Do not know can be fixed
endline,c27_notconsult_preg_8,C27. Do not know where to go
endline,c27_notconsult_preg_9,C27. Too expensive
endline,c27_notconsult_preg_10,C27. Could not get permission
endline,c27_notconsult_preg_11,C27. Embarrassment
endline,c27_notconsult_preg_12,C27. Problem disappeared
endline,c27_notconsult_preg_13,C27. Didn't want to go/ anxious
endline,c27_notconsult_preg_14,C27. Bad previous experience
endline,c27_notconsult_preg_15,C27. Couldn't stop working
endline,c27_notconsult_preg_16,C27. Had children/ other responsibilities at home
endline,c27_notconsult_preg_17,C27. There were insufficient health care providers at the clinics/hospitals
endline,c27_notconsult_preg_18,C27. Doctors or health care providers didn't allow me to come
endline,c27_notconsult_preg_19,C27. Concern about getting Covid 19
endline,c27_notconsult_preg_20,C27. Concern about transmitting Covid 19 to other people
endline,c27_notconsult_preg_21,C27. Clinics were closed
endline,c27_notconsult_preg_22,C27. Could not get appointment or appointment was cancelled or postponed (eg. Ho
endline,c27_notconsult_preg_23,C27. Lack of available transportation
endline,c27_notconsult_preg_24,C27. Clinic/ hospital had a long wait time
endline,c28_inpatient_preg,"C28.During the past 12 months, was [${preg_name}] hospitalized because of an il"
endline,c29_insu_preg,C29.What is the main (government or private) health insurance covering [NAME]'s
endline,c30_episode_preg,"C30.During the past 12 months, how many episodes of hospitalization did [${preg"
endline,c31_disease_preg,"C31.For [${preg_name}] most recent hospitalization episode, what was the main r"
endline,c31_disease_preg_1,C31. Malaria/ fever
endline,c31_disease_preg_2,C31. Diseases of Respiratory including pneumonia
endline,c31_disease_preg_3,C31. TB
endline,c31_disease_preg_4,C31. Kidney disease
endline,c31_disease_preg_5,C31. Liver disease
endline,c31_disease_preg_6,C31. Cardiovascular disease
endline,c31_disease_preg_7,C31. Haematological disorders
endline,c31_disease_preg_8,C31. Eye infections
endline,c31_disease_preg_9,C31. HIV/AIDS
endline,c31_disease_preg_10,C31. Diabetes
endline,c31_disease_preg_11,C31. Hypertension
endline,c31_disease_preg_12,C31. Diarrhea
endline,c31_disease_preg_13,C31. Intestinal worms
endline,c31_disease_preg_14,C31. STD (Syphilis etc)
endline,c31_disease_preg_15,C31. Accidents and injuries
endline,c31_disease_preg_16,C31. Gender Based Violence related injuries
endline,c31_disease_preg_17,C31. Cancer
endline,c31_disease_preg_18,C31. Childbirth (Normal Delivery)
endline,c31_disease_preg_19,C31. Childbirth (Caesarean)
endline,c31_disease_preg_20,C31. Treatment/ surgery for reproductive health related cancers etc.
endline,c31_disease_preg_21,C31. Post-natal care/ delivery complications
endline,c31_disease_preg_22,C31. Abortion
endline,c31_disease_preg_23,C31. Covid-19
endline,c31_disease_preg_24,C31. Surgery for Appendicitis
endline,c31_disease_preg_25,"C31. Skin diseases (e.g., boils, lesions, etc.)"
endline,c31_disease_preg_26,C31. Gastritics
endline,c31_disease_preg_27,C31. Abnormal pregnancy/pregnancy complications/malpresentation
endline,c31_disease_preg_28,C31. Dengue Haemorrhagic Fever
endline,c31_disease_preg_29,C31. Surgery for hydrocephalus
endline,c31_disease_preg_30,C31. Surgery for hernia
endline,c31_disease_preg_31,C31. Melena
endline,c31_disease_preg_32,C31. Intussusception
endline,c31_disease_preg_33,C31. Epilepsy/seizure
endline,c31_disease_preg_34,C31. Fever
endline,c31_disease_preg_35,C31. Drug poison/food poison
endline,c31_disease_preg_36,"C31. Signs of labours (pain, rupture of membrane)"
endline,c31_disease_preg_37,C31. Jaundice
endline,c31_disease_preg_38,C31. Meningitis
endline,c31_disease_preg_39,C31. Constipation
endline,c31_disease_preg_40,C31. Low Birth weight
endline,c31_disease_preg_41,C31. The newborn could not be fed.
endline,c31_disease_preg_42,C31. Cleft palate surgery
endline,c31_disease_preg_43,C31. Dental problem
endline,c31_disease_preg_44,C31. Reproductive system disease
endline,c32_opd_preg,"C32.For [${preg_name}] most recent hospitalization episode, did [${preg_name}]"
endline,c33_hospital_preg,"C33.For [${preg_name}] most recent hospitalization episode, where did [NAME] ge"
endline,c34_stopnormal_preg,"C34.For [${preg_name}] most recent hospitalization episode, how many days did ["
endline,c35_days_preg,"C35.For [${preg_name}] most recent hospitalization episode, how many days did ["
endline,c36_health_preg,"C36. For [${preg_name}] most recent hospitalization, how much money was spent o"
endline,c37_nonhealth_preg,"C37.For [${preg_name}] most recent hospitalization episode, how much money was"
endline,total_inpatient_preg,
endline,c38_reimburse_preg,"C38.For [${preg_name}] most recent hospitalization, how much did that ${c29_in"
endline,u7_count,
endline,c1_time_u7_1,"C1.In the last 12 months, approximately how many times did [${u7_name}] interac"
endline,c2_nature_u7_1,C2.What was the nature of the interactions that [${u7_name}] had in the last 12
endline,c2_nature_u7_1_1,C2. Illness/ Injury
endline,c2_nature_u7_2_1,C2. Child immunization
endline,c2_nature_u7_3_1,C2. Antenatal care
endline,c2_nature_u7_4_1,C2. Influenza Vaccination
endline,c2_nature_u7_5_1,C2. Covid 19 vaccination
endline,c2_nature_u7_6_1,C2. Medical checkup
endline,c2_nature_u7_7_1,C2. Receiving health education/medical advice
endline,c2_nature_u7_8_1,C2. Newborn followup
endline,c2_nature_u7_9_1,C2. Low birth weight
endline,c2_nature_u7_10_1,C2. Obesity
endline,c2_nature_u7_11_1,C2. Child birth
endline,c3_test_u7_1,"C3.For all healthcare interactions that [${u7_name}] had in the last 12 months,"
endline,c4_hospital_u7_1,"C4.In the last 12 months, how many times did [${u7_name}] stay overnight at a h"
endline,c5_amount_u7_1,"C5.In the last 12 months, what was the approximate amount spent on [${u7_name}]"
endline,c6_selfmed_u7_1,C6.Although [${u7_name}] didn't visit/interact and hospitalize any time in the
endline,c7_compare_u7_1,C7.How do you think that the healthcare utilization for [${u7_name}] changed af
endline,c8_illyesno_u7_1,"C8.During the past 30 days did [${u7_name}] suffer from any illness, injury, or"
endline,c9_insu_u7_1,C9.What is the main (government or private) health insurance covering [NAME]'s o
endline,c10_seekcare_u7_1,"C10.During the past 30 days, did [${u7_name}] consult anyone or visit any healt"
endline,c11_disease_u7_1,"C11.For which disease (diagnosed by doctor/health care provider), [${u7_name}]"
endline,c11_disease_u7_1_1,C11. Diarrhea
endline,c11_disease_u7_2_1,C11. Dengue Hemorrhagic Fever
endline,c11_disease_u7_3_1,C11. Fever
endline,c11_disease_u7_4_1,C11. Malaria
endline,c11_disease_u7_5_1,C11. Typhoid
endline,c11_disease_u7_6_1,C11. Kidney disease
endline,c11_disease_u7_7_1,"C11. Skin diseases (e.g., boils, lesions, etc.)"
endline,c11_disease_u7_8_1,C11. Cough
endline,c11_disease_u7_9_1,C11. Nasal congestion
endline,c11_disease_u7_10_1,C11. Running nose
endline,c11_disease_u7_11_1,C11. Influenza
endline,c11_disease_u7_12_1,C11. Abdominal pain
endline,c11_disease_u7_13_1,C11. Covid 19
endline,c11_disease_u7_14_1,C11. Hypertension
endline,c11_disease_u7_15_1,C11. Diabetes
endline,c11_disease_u7_16_1,C11. Nausea and vomiting
endline,c11_disease_u7_17_1,"C11. Accidents (motorbike/car accidents, etc)"
endline,c11_disease_u7_18_1,C11. Occupational injuries or other injuries
endline,c11_disease_u7_19_1,C11. Oral disease
endline,c11_disease_u7_20_1,C11. Low blood pressure/hypotension
endline,c11_disease_u7_21_1,"C11. Complications of pregnancy (diziness, bleeding, pain,weakness)"
endline,c11_disease_u7_22_1,C11. Heart disease
endline,c11_disease_u7_23_1,C11. Sore throat
endline,c11_disease_u7_24_1,C11. Muscle and joint pain
endline,c11_disease_u7_25_1,C11. Food poison
endline,c11_disease_u7_26_1,C11. Gastritics
endline,c11_disease_u7_27_1,C11. Urinary tract infection(UTI)
endline,c11_disease_u7_28_1,C11. Neurological disorders/headache
endline,c11_disease_u7_29_1,C11. Constipation
endline,c11_disease_u7_30_1,C11. Pneumonia/AVI/Other respiratory tract infections
endline,c11_disease_u7_31_1,C11. Asthema
endline,c11_disease_u7_32_1,C11. Intestinal worms
endline,c11_disease_u7_33_1,C11. Bone demorfimty
endline,c11_disease_u7_34_1,C11. Indigestion
endline,c11_disease_u7_35_1,C11. Hydrocephalus
endline,c11_disease_u7_36_1,C11. Bloating
endline,c11_disease_u7_37_1,C11. Ear infection
endline,c11_disease_u7_38_1,C11. Epistasis
endline,c11_disease_u7_39_1,C11. Epilepsy/seizure
endline,c11_disease_u7_40_1,C11. Paralysis
endline,c11_disease_u7_41_1,C11. Medical checkup/investigations
endline,c11_disease_u7_42_1,C11. Weakness
endline,c11_disease_u7_43_1,C11. Back pain
endline,c11_disease_u7_44_1,C11. Jaundice
endline,c11_disease_u7_45_1,C11. Eyes disease/eyes infection
endline,c11_disease_u7_46_1,C11. Liver and biliary tract disease
endline,c11_disease_u7_47_1,C11. Lump
endline,c11_disease_u7_48_1,C11. Cancer
endline,c11_disease_u7_98_1,C11. Don't know
endline,c11_disease_u7_97_1,C11. Prefer not to answer
endline,c12_diagnose_u7_1,C12.Were any diagnostic / lab tests performed on [${u7_name}] as a part of the
endline,c13_medication_u7_1,C13.Did the provider prescribe [${u7_name}] any medications as a part of the tr
endline,c14_meditake_u7_1,C14.Did [${u7_name}] take the medicines prescribed by the provider?
endline,c15_format_u7_1,"C15.For [${u7_name}] in the past 30 days, what was the format of seeking medica"
endline,c15_format_u7_1_1,C15. In person
endline,c15_format_u7_2_1,C15. Telemdicine only
endline,c15_format_u7_3_1,C15. Mix of inperson and telemedcicne
endline,c16_virtual_u7_1,"C16.During the past 30 days, select all the ways [${u7_name}] ever communicated"
endline,c16_virtual_u7_1_1,C16. Text Message
endline,c16_virtual_u7_2_1,C16. Email
endline,c16_virtual_u7_3_1,"C16. Messaging within a website (e.g., patient portal, viber, telegram, messenge"
endline,c16_virtual_u7_4_1,C16. Phone calls
endline,c16_virtual_u7_5_1,"C16. Videoconference (e.g viber, telegram, messenger)"
endline,c16_virtual_u7_6_1,"C16. Audioconference (e.g viber, telegram, messenger)"
endline,c16_virtual_u7_7_1,C16. eVisit (when you answer questions about your health issue online and hear b
endline,c17_virtime_u7_1,"C17.During the past 30 days, how many times did [${u7_name}] have telemedicine"
endline,c18_virlast_u7_1,"C18.For the most recent telemedicine consultation in the last 30 days, where did"
endline,c19_pertime_u7_1,"C19.During the past 30 days, how many in-person consultation visits did [${u7_n"
endline,c20_personlast_u7_1,"C20.For your most recent visit in the past 30 days, where did [] get care?"
endline,filteru7_lastformat_1,I'd like to ask the cost for the most recent visit. Since the respondent used bo
endline,c21_health_u7_1,"C21. For [${u7_name}]'s most recent visit/interaction, how much money was spent"
endline,c22_nonhealth_u7_1,"C22.For [${u7_name}]'s most recent visit/interaction, how much money was spent"
endline,c23_reimburse_u7_1,"C23.For [NAME's] most recent visit/interaction, how much did that ${c9_insu_u7_"
endline,c24_stopnormal_u7_1,"C24.For the most recent visit in the past 30 days, how many days did [${u7_name"
endline,c25_assist_u7_1,C25.Does [${u7_name}] or someone in his/her household currently receiving assis
endline,c25_assist_u7_0_1,C25. None
endline,c25_assist_u7_1_1,C25. Save the children
endline,c25_assist_u7_2_1,C25. LIFT
endline,c25_assist_u7_3_1,C25. MCCT
endline,c25_assist_u7_4_1,C25. UNICEF
endline,c25_assist_u7_5_1,C25. World Food Program (WFP)
endline,c25_assist_u7_6_1,C25. Local charity organizations
endline,c25_assist_u7_7_1,C25. TdH
endline,c25_assist_u7_8_1,C25. Myat Wynn Lay Myar group
endline,c25_assist_u7_9_1,C25. Bright Start/Common Health
endline,c25_assist_u7_10_1,C25. Private donors
endline,c25_assist_u7_11_1,C25. Pact Myanmar
endline,c25_assist_u7_12_1,C25. International Labour Organization (ILO)
endline,c25_assist_u7_97_1,C25. Prefer not to answer
endline,c25_assist_u7_98_1,C25. Don't know
endline,c26_nonsick_u7_1,"C26.Although you weren't [NAME wasn't] sick/ wounded, did you [he/she] consult a"
endline,c26_nonsick_u7_1_1,C26. Under five visit with vaccination
endline,c26_nonsick_u7_2_1,C26. Under five visit without vaccination
endline,c26_nonsick_u7_3_1,C26. General check-up
endline,c26_nonsick_u7_4_1,C26. Didn't go to heath care facillity or consult with health care provider
endline,c27_notconsult_u7_1,C27.Why did [${u7_name}] not consult anyone or seek treatment? [Select all that
endline,c27_notconsult_u7_1_1,C27. Not serious illness
endline,c27_notconsult_u7_2_1,C27. Self-treated
endline,c27_notconsult_u7_3_1,C27. No money for treatment
endline,c27_notconsult_u7_4_1,C27. Too far
endline,c27_notconsult_u7_5_1,C27. Poor services
endline,c27_notconsult_u7_6_1,C27. Not safe
endline,c27_notconsult_u7_7_1,C27. Do not know can be fixed
endline,c27_notconsult_u7_8_1,C27. Do not know where to go
endline,c27_notconsult_u7_9_1,C27. Too expensive
endline,c27_notconsult_u7_10_1,C27. Could not get permission
endline,c27_notconsult_u7_11_1,C27. Embarrassment
endline,c27_notconsult_u7_12_1,C27. Problem disappeared
endline,c27_notconsult_u7_13_1,C27. Didn't want to go/ anxious
endline,c27_notconsult_u7_14_1,C27. Bad previous experience
endline,c27_notconsult_u7_15_1,C27. Couldn't stop working
endline,c27_notconsult_u7_16_1,C27. Had children/ other responsibilities at home
endline,c27_notconsult_u7_17_1,C27. There were insufficient health care providers at the clinics/hospitals
endline,c27_notconsult_u7_18_1,C27. Doctors or health care providers didn't allow me to come
endline,c27_notconsult_u7_19_1,C27. Concern about getting Covid 19
endline,c27_notconsult_u7_20_1,C27. Concern about transmitting Covid 19 to other people
endline,c27_notconsult_u7_21_1,C27. Clinics were closed
endline,c27_notconsult_u7_22_1,C27. Could not get appointment or appointment was cancelled or postponed (eg. Ho
endline,c27_notconsult_u7_23_1,C27. Lack of available transportation
endline,c27_notconsult_u7_24_1,C27. Clinic/ hospital had a long wait time
endline,c28_inpatient_u7_1,"C28.During the past 12 months, was [${u7_name}] hospitalized because of an illn"
endline,c29_insu_u7_1,C29.What is the main (government or private) health insurance covering [NAME]'s
endline,c30_episode_u7_1,"C30.During the past 12 months, how many episodes of hospitalization did [${u7_n"
endline,c31_disease_u7_1,"C31.For [${u7_name}] most recent hospitalization episode, what was the main rea"
endline,c31_disease_u7_1_1,C31. Malaria/ fever
endline,c31_disease_u7_2_1,C31. Diseases of Respiratory including pneumonia
endline,c31_disease_u7_3_1,C31. TB
endline,c31_disease_u7_4_1,C31. Kidney disease
endline,c31_disease_u7_5_1,C31. Liver disease
endline,c31_disease_u7_6_1,C31. Cardiovascular disease
endline,c31_disease_u7_7_1,C31. Haematological disorders
endline,c31_disease_u7_8_1,C31. Eye infections
endline,c31_disease_u7_9_1,C31. HIV/AIDS
endline,c31_disease_u7_10_1,C31. Diabetes
endline,c31_disease_u7_11_1,C31. Hypertension
endline,c31_disease_u7_12_1,C31. Diarrhea
endline,c31_disease_u7_13_1,C31. Intestinal worms
endline,c31_disease_u7_14_1,C31. STD (Syphilis etc)
endline,c31_disease_u7_15_1,C31. Accidents and injuries
endline,c31_disease_u7_16_1,C31. Gender Based Violence related injuries
endline,c31_disease_u7_17_1,C31. Cancer
endline,c31_disease_u7_18_1,C31. Childbirth (Normal Delivery)
endline,c31_disease_u7_19_1,C31. Childbirth (Caesarean)
endline,c31_disease_u7_20_1,C31. Treatment/ surgery for reproductive health related cancers etc.
endline,c31_disease_u7_21_1,C31. Post-natal care/ delivery complications
endline,c31_disease_u7_22_1,C31. Abortion
endline,c31_disease_u7_23_1,C31. Covid-19
endline,c31_disease_u7_24_1,C31. Surgery for Appendicitis
endline,c31_disease_u7_25_1,"C31. Skin diseases (e.g., boils, lesions, etc.)"
endline,c31_disease_u7_26_1,C31. Gastritics
endline,c31_disease_u7_27_1,C31. Abnormal pregnancy/pregnancy complications/malpresentation
endline,c31_disease_u7_28_1,C31. Dengue Haemorrhagic Fever
endline,c31_disease_u7_29_1,C31. Surgery for hydrocephalus
endline,c31_disease_u7_30_1,C31. Surgery for hernia
endline,c31_disease_u7_31_1,C31. Melena
endline,c31_disease_u7_32_1,C31. Intussusception
endline,c31_disease_u7_33_1,C31. Epilepsy/seizure
endline,c31_disease_u7_34_1,C31. Fever
endline,c31_disease_u7_35_1,C31. Drug poison/food poison
endline,c31_disease_u7_36_1,"C31. Signs of labours (pain, rupture of membrane)"
endline,c31_disease_u7_37_1,C31. Jaundice
endline,c31_disease_u7_38_1,C31. Meningitis
endline,c31_disease_u7_39_1,C31. Constipation
endline,c31_disease_u7_40_1,C31. Low Birth weight
endline,c31_disease_u7_41_1,C31. The newborn could not be fed.
