wave,var,label
baseline,c11_disease_preg_3,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen
baseline,c11_disease_preg_4,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec
baseline,c11_disease_preg_5,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec
baseline,c11_disease_preg_6,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_preg_7,"C11_7.[Skin diseases (e.g., boils, lesions, etc.)] was disease diagnosed by doct"
baseline,c11_disease_preg_8,C11_8.[Cough] was disease diagnosed by doctor/health care provider for the recen
baseline,c11_disease_preg_9,C11_9.[Nasal congestion] was disease diagnosed by doctor/health care provider fo
baseline,c11_disease_preg_10,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t
baseline,c11_disease_preg_11,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_preg_12,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_preg_13,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_preg_14,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t
baseline,c11_disease_preg_15,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_preg_16,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide
baseline,c11_disease_preg_17,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto"
baseline,c11_disease_preg_18,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor
baseline,c11_disease_preg_19,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t
baseline,c11_disease_preg_20,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c
baseline,c11_disease_preg_21,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise"
baseline,c11_disease_preg_22,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_preg_23,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th
baseline,c11_disease_preg_24,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi
baseline,c11_disease_preg_25,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th
baseline,c11_disease_preg_26,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_preg_27,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car
baseline,c11_disease_preg_28,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health
baseline,c11_disease_preg_29,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t
baseline,c11_disease_preg_30,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed
baseline,c11_disease_preg_31,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re
baseline,c11_disease_preg_32,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f
baseline,c11_disease_preg_33,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo
baseline,c11_disease_preg_34,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th
baseline,c11_disease_preg_35,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_preg_36,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_preg_37,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_preg_38,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_preg_39,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f
baseline,c11_disease_preg_40,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_preg_41,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c
baseline,c11_disease_preg_42,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_preg_43,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_preg_44,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_preg_45,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care
baseline,c12_diagnose_preg,C12.Diagnostic / lab tests performed [Pregnant Mother]
baseline,c13_medication_preg,C13.Prescribing medications [Pregnant Mother]
baseline,c14_meditake_preg,C14.Taking the medicines as prescribed [Pregnant Mother]
baseline,c15_format_preg,C15.Format of seeking medical advice/treatment [Pregnant Mother]
baseline,c15_format_preg_1,C15_1.[In person] was the format of health seeking in the last 30 days.
baseline,c15_format_preg_2,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.
baseline,c15_format_preg_3,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the
baseline,c16_virtual_preg,C16.Ways of telemedicine consultations in  the last 30 days [Pregnant Mother]
baseline,c16_virtual_preg_1,C16_1.[Text Message] was the ways of teleconsultations used in the last 30 days.
baseline,c16_virtual_preg_2,C16_2.[Email] was the ways of teleconsultations used in the last 30 days.
baseline,c16_virtual_preg_3,"C16_3.[Messaging within a website (e.g., patient portal, viber, telegram, messen"
baseline,c16_virtual_preg_4,C16_4.[Phone calls] was the ways of teleconsultations used in the last 30 days.
baseline,c16_virtual_preg_5,"C16_5.[Videoconference (e.g viber, telegram, messenger)] was the ways of telecon"
baseline,c16_virtual_preg_6,"C16_6.[Audioconference (e.g viber, telegram, messenger)] was the ways of telecon"
baseline,c16_virtual_preg_7,C16_7.[eVisit (when you answer questions about your health issue online and hear
baseline,c17_virtime_preg,C17.Times of telemedicine consultations in  the last 30 days [Pregnant Mother]
baseline,c19_pertime_preg,C19.Times in-person consultation visits in the last 30 days [Pregnant Mother]
baseline,c20_personlast_preg,C20.Place of in person visist for the most recent visit in the last 30 days [Pre
baseline,c21_health_preg,C21. Money spent on direct health care costs for the most recent visit [Pregnant
baseline,c22_nonhealth_preg,C22.Money was spent on indirect healthcare costs for the most recent visit [Preg
baseline,c22b_total,C22b.Total health care cost for primary care visits [Pregnant mother]
baseline,c23_reimburse_preg,C23.Amount of money [MMK] reimbursed from main health insurance [Pregnant Mother
baseline,c24_stopnormal_preg,C24.Number Days stoped normal activities because of the illness [Pregnant Mother
baseline,c25_assist_preg,C25.Gov/NGO/INGO assistance for [Pregnant Mother]
baseline,c25_assist_preg_0,C25_0.[None] is the orgainzation where the assistance is received currently.
baseline,c25_assist_preg_1,C25_1.[Save the children] is the orgainzation where the assistance is received c
baseline,c25_assist_preg_2,C25_2.[LIFT] is the orgainzation where the assistance is received currently.
baseline,c25_assist_preg_3,C25_3.[MCCT] is the orgainzation where the assistance is received currently.
baseline,c25_assist_preg_4,C25_4.[UNICEF] is the orgainzation where the assistance is received currently.
baseline,c25_assist_preg_5,C25_5.[World Food Program (WFP)] is the orgainzation where the assistance is rec
baseline,c25_assist_preg_6,C25_6.[Local charity organizations] is the orgainzation where the assistance is
baseline,c25_assist_preg_8,C25_8.[Myat Wynn Lay Myar group] is the orgainzation where the assistance is rec
baseline,c25_assist_preg_98,C25_98.Don't know the orgainzation where the assistance is received currently.
baseline,c25_assist_preg_7,C25_7.[TdH] is the orgainzation where the assistance is received currently.
baseline,c26_nonsick_preg,C26.The reasons of visit/interact with health care providers although Pregnant M
baseline,c26_nonsick_preg_1,C26_1.[Antenatal care] is the reason that Pregnant Mother visit/interact with he
baseline,c26_nonsick_preg_2,C26_2.[Childbirth ] is the reason that Pregnant Mother visit/interact with healt
baseline,c26_nonsick_preg_3,C26_3.[General check-up] is the reason that Pregnant Mother visit/interact with
baseline,c26_nonsick_preg_4,C26_4.[Family planning] is the reason that Pregnant Mother visit/interact with h
baseline,c26_nonsick_preg_5,C26_5.[Covid-19 vaccination] is the reason that Pregnant Mother visit/interact w
baseline,c26_nonsick_preg_6,C26_6.[Other vaccination] is the reason that Pregnant Mother visit/interact with
baseline,c26_nonsick_preg_7,C26_7.[Didn't go to heath care facillity or consult with health care provider] i
baseline,c27_notconsult_preg,C27.The reasons that the [Pregnant Mother] didn't seek health care although sick
baseline,c27_notconsult_preg_1,C27_1.[Not serious illness] was the reason that do not visit/interact with healt
baseline,c27_notconsult_preg_2,C27_2.[Self-treated] was the reason that do not visit/interact with health care
baseline,c27_notconsult_preg_3,C27_3.[No money for treatment] was the reason that do not visit/interact with he
baseline,c27_notconsult_preg_4,C27_4.[Too far] was the reason that do not visit/interact with health care provi
baseline,c27_notconsult_preg_5,C27_5.[Poor services] was the reason that do not visit/interact with health care
baseline,c27_notconsult_preg_6,C27_6.[Not safe] was the reason that do not visit/interact with health care prov
baseline,c27_notconsult_preg_7,C27_7.[Do not know can be fixed] was the reason that do not visit/interact with
baseline,c27_notconsult_preg_8,C27_8.[Do not know where to go] was the reason that do not visit/interact with h
baseline,c27_notconsult_preg_9,C27_9.[Too expensive] was the reason that do not visit/interact with health care
baseline,c27_notconsult_preg_10,C27_10.[Too far] was the reason that do not visit/interact with health care prov
baseline,c27_notconsult_preg_11,C27_11.[Could not get permission] was the reason that do not visit/interact with
baseline,c27_notconsult_preg_12,C27_12.[Embarrassment] was the reason that do not visit/interact with health car
baseline,c27_notconsult_preg_13,C27_13.[Problem disappeared] was the reason that do not visit/interact with heal
baseline,c27_notconsult_preg_14,C27_14.[Didn’t want to go/ anxious] was the reason that do not visit/interact wi
baseline,c27_notconsult_preg_15,C27_15.[Bad previous experience] was the reason that do not visit/interact with
baseline,c27_notconsult_preg_16,C27_16.[Couldn’t stop working] was the reason that do not visit/interact with he
baseline,c27_notconsult_preg_17,C27_17.[Had children/ other responsibilities at home] was the reason that do not
baseline,c27_notconsult_preg_18,C27_18.[There were insufficient health care providers at the clinics/hospitals]
baseline,c27_notconsult_preg_19,C27_19.[Doctors or health care providers didn’t allow me to come] was the reason
baseline,c27_notconsult_preg_20,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac
baseline,c27_notconsult_preg_21,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that
baseline,c27_notconsult_preg_22,C27_22.[Clinics were closed] was the reason that do not visit/interact with heal
baseline,c27_notconsult_preg_23,C27_23.[Could not get appointment or appointment was cancelled or postponed (eg.
baseline,c27_notconsult_preg_24,C27_24.[Lack of available transportation] was the reason that do not visit/inter
baseline,c27_notconsult_preg_25,C27_25.[Clinic/ hospital had a long wait time] was the reason that do not visit/
baseline,c28_inpatient_preg,C28.Hospitalization during 12 months [Pregnant Mother]
baseline,c29_insu_preg,C29.Main (government or private) health insurance covering inpatient care[Pregna
baseline,c30_episode_preg,C30.Episodes of hospitalization in the last 12 months [Pregnant Mother]
baseline,c31_disease_preg,C31.Reasons for hospitalization for the most recent episode [Pregnant Mother]
baseline,c31_disease_preg_1,C31_1.[Malaria/ fever] was the reason for hospitalization.
baseline,c31_disease_preg_2,C31_2.[Diseases of Respiratory including pneumonia] was the reason for hospitali
baseline,c31_disease_preg_3,C31_3.[TB] was the reason for hospitalization.
baseline,c31_disease_preg_4,C31_4.[Kidney disease] was the reason for hospitalization.
baseline,c31_disease_preg_5,C31_5.[Liver disease] was the reason for hospitalization.
baseline,c31_disease_preg_6,C31_6.[Cardiovascular disease] was the reason for hospitalization.
baseline,c31_disease_preg_7,C31_7.[Haematological disorders] was the reason for hospitalization.
baseline,c31_disease_preg_8,C31_8.[Eye infections] was the reason for hospitalization.
baseline,c31_disease_preg_9,C31_9.[HIV/AIDS] was the reason for hospitalization.
baseline,c31_disease_preg_10,C31_10.[Diabetes] was the reason for hospitalization.
baseline,c31_disease_preg_11,C31_11.[Hypertension] was the reason for hospitalization.
baseline,c31_disease_preg_12,C31_12.[Diarrhea] was the reason for hospitalization.
baseline,c31_disease_preg_13,C31_13.[Intestinal worms] was the reason for hospitalization.
baseline,c31_disease_preg_14,C31_14.[STD (Syphilis etc)] was the reason for hospitalization.
baseline,c31_disease_preg_15,C31_15.[Accidents and injuries] was the reason for hospitalization.
baseline,c31_disease_preg_16,C31_16.[Gender Based Violence related injuries] was the reason for hospitalizati
baseline,c31_disease_preg_17,C31_17.[Cancer] was the reason for hospitalization.
baseline,c31_disease_preg_18,C31_18.[Childbirth (Normal Delivery)] was the reason for hospitalization.
baseline,c31_disease_preg_19,C31_19.[Childbirth (Caesarean) ] was the reason for hospitalization.
baseline,c31_disease_preg_20,C31_20.[Treatment/ surgery for reproductive health related cancers etc.] was the
baseline,c31_disease_preg_21,C31_21.[Post-natal care/ delivery complications] was the reason for hospitalizat
baseline,c31_disease_preg_22,C31_22.[Abortion] was the reason for hospitalization.
baseline,c31_disease_preg_23,C31_23.[Covid-19] was the reason for hospitalization.
baseline,c31_disease_preg_24,C31_24.[Surgery for Appendicitis] was the reason for hospitalization.
baseline,c31_disease_preg_25,"C31_25.[Skin diseases (e.g., boils, lesions, etc.)] was the reason for hospitali"
baseline,c31_disease_preg_42,C31_42.[Cleft palate surgery] was the reason for hospitalization.
baseline,c31_disease_preg_41,C31_41.[The newborn could not be fed.] was the reason for hospitalization.
baseline,c31_disease_preg_40,C31_40.[Low Birth weight] was the reason for hospitalization.
baseline,c31_disease_preg_39,C31_39.[Constipation] was the reason for hospitalization.
baseline,c31_disease_preg_38,C31_38.[Meningitis] was the reason for hospitalization.
baseline,c31_disease_preg_37,C31_37.[Jaundice] was the reason for hospitalization.
baseline,c31_disease_preg_36,"C31_36.[Signs of labours (pain, rupture of membrane)] was the reason for hospita"
baseline,c31_disease_preg_35,C31_35.[Drug poison/food poison] was the reason for hospitalization.
baseline,c31_disease_preg_34,C31_34.[Fever] was the reason for hospitalization.
baseline,c31_disease_preg_33,C31_33.[Epilepsy/seizure] was the reason for hospitalization.
baseline,c31_disease_preg_32,C31_32.[Intussusception] was the reason for hospitalization.
baseline,c31_disease_preg_31,C31_31.[Melena] was the reason for hospitalization.
baseline,c31_disease_preg_30,C31_30.[Surgery for hernia] was the reason for hospitalization.
baseline,c31_disease_preg_29,C31_29.[Surgery for hydrocephalus] was the reason for hospitalization.
baseline,c31_disease_preg_28,C31_28.[Dengue Haemorrhagic Fever] was the reason for hospitalization.
baseline,c31_disease_preg_27,C31_27.[Abnormal pregnancy/pregnancy complications/malpresentation] was the reas
baseline,c31_disease_preg_26,C31_26.[Gastritics] was the reason for hospitalization.
baseline,c32_opd_preg,C32.Seeking outpatient/primary care before hospitalization [Pregnant Mother]
baseline,c33_hospital_preg,C33.Place of hospitalization for the most recent episode [Pregnant Mother]
baseline,c34_stopnormal_preg,C34.Number of days stopped for normal activities because of the hospitalization
baseline,c35_days_preg,C35.Days spent in the hospital for the most recent hospitalization [Pregnant Mot
baseline,c36_health_preg,C36.Amount of money[MMK] spent on direct health care costs for most recent hospi
baseline,c37_nonhealth_preg,C37.Amount of money[MMK] spent on indirect health care costs for most recent hos
baseline,c37b_total,C37.Total health care costs for inpatient care[Pregnant mother]
baseline,c38_reimburse_preg,C38.Amount of money[MMK] reimbursed for the most recent hospitalization [Pregnan
baseline,c1_time_u7_1,C1.Time of consulting/visiting/interaction with health care providers in the las
baseline,c2_nature_u7_1,C2.Nature of the interactions in the last 12 months [Child (1)]
baseline,c2_nature_u7_1_1,C2_1.[Illness/ Injury] was the nature of visit/interaction in the last 12 months
baseline,c2_nature_u7_2_1,C2_2.[Child immunization] was the nature of visit/interaction in the last 12 mon
baseline,c2_nature_u7_3_1,C2_3.[Antenatal care] was the nature of visit/interaction in the last 12 months.
baseline,c2_nature_u7_4_1,C2_4.[Influenza Vaccination] was the nature of visit/interaction in the last 12
baseline,c2_nature_u7_5_1,C2_5.[Covid 19 vaccination] was the nature of visit/interaction in the last 12 m
baseline,c2_nature_u7_6_1,C2_6.[Medical checkup] was the nature of visit/interaction in the last 12 months
baseline,c2_nature_u7_7_1,C2_7.[Receiving health education/medical advice] was the nature of visit/interac
baseline,c2_nature_u7_8_1,C2_8.[Newborn followup] was the nature of visit/interaction in the last 12 month
baseline,c2_nature_u7_9_1,C2_9.[Low birth weight] was the nature of visit/interaction in the last 12 month
baseline,c2_nature_u7_10_1,C2_10.[Obesity] was the nature of visit/interaction in the last 12 months.
baseline,c3_test_u7_1,C3.Tests/Investigations involved in the last 12 months [Child (1)]
baseline,c4_hospital_u7_1,C4.Episodes of hospitalization in the last 12 months [Child (1)]
baseline,c5_amount_u7_1,C5.Approximate spent on health care in the last 12 months [Child (1)]
baseline,c6_selfmed_u7_1,C6.Approximate spent on self-prescribed medication in the last 12 months [Child
baseline,c7_compare_u7_1,C7.Health care utilizaiton after February 1. [Child (1)]
baseline,c8_illyesno_u7_1,"C8.llness, injury, or health complaints in the last 30 days [Child (1)]"
baseline,c9_insu_u7_1,C9.Main (government or private) health insurance covering outpatient care for si
baseline,c10_seekcare_u7_1,C10.Consulting/visiting/interacting with health care providers during the past 3
baseline,c11_disease_u7_1,C11.Disease diagnosed for the most recent interaction in the past 30 days [Child
baseline,c11_disease_u7_1_1,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_u7_2_1,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro
baseline,c11_disease_u7_3_1,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen
baseline,c11_disease_u7_4_1,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec
baseline,c11_disease_u7_5_1,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec
baseline,c11_disease_u7_6_1,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_u7_7_1,"C11_7.[Skin diseases (e.g., boils, lesions, etc.)] was disease diagnosed by doct"
baseline,c11_disease_u7_8_1,C11_8.[Cough] was disease diagnosed by doctor/health care provider for the recen
baseline,c11_disease_u7_9_1,C11_9.[Nasal congestion] was disease diagnosed by doctor/health care provider fo
baseline,c11_disease_u7_10_1,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t
baseline,c11_disease_u7_11_1,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_u7_12_1,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_u7_13_1,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_u7_14_1,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t
baseline,c11_disease_u7_15_1,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_u7_16_1,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide
baseline,c11_disease_u7_17_1,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto"
baseline,c11_disease_u7_18_1,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor
baseline,c11_disease_u7_19_1,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t
baseline,c11_disease_u7_45_1,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care
baseline,c11_disease_u7_44_1,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_u7_43_1,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_u7_42_1,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_u7_41_1,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c
baseline,c11_disease_u7_40_1,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_u7_39_1,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f
baseline,c11_disease_u7_38_1,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_u7_37_1,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_u7_36_1,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_u7_35_1,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_u7_34_1,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th
baseline,c11_disease_u7_33_1,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo
baseline,c11_disease_u7_32_1,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f
baseline,c11_disease_u7_31_1,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re
baseline,c11_disease_u7_30_1,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed
baseline,c11_disease_u7_29_1,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t
baseline,c11_disease_u7_28_1,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health
baseline,c11_disease_u7_27_1,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car
baseline,c11_disease_u7_26_1,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the
baseline,c11_disease_u7_25_1,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th
baseline,c11_disease_u7_24_1,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi
baseline,c11_disease_u7_23_1,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th
baseline,c11_disease_u7_22_1,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for
baseline,c11_disease_u7_21_1,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise"
baseline,c11_disease_u7_20_1,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c
baseline,c12_diagnose_u7_1,C12.Diagnostic / lab tests performed [Child (1)]
baseline,c13_medication_u7_1,C13.Prescribing medications [Child (1)]
baseline,c14_meditake_u7_1,C14.Taking the medicines as prescribed [Child (1)]
baseline,c15_format_u7_1,C15.Format of seeking medical advice/treatment [Child (1)]
baseline,c15_format_u7_1_1,C15_1.[In person] was the format of health seeking in the last 30 days.
baseline,c15_format_u7_2_1,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.
baseline,c15_format_u7_3_1,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the
baseline,c16_virtual_u7_1,C16.Ways of telemedicine consultations in  the last 30 days [Child (1)]
baseline,c16_virtual_u7_1_1,C16_1.[Text Message] was the ways of teleconsultations used in the last 30 days.
baseline,c16_virtual_u7_2_1,C16_2.[Email] was the ways of teleconsultations used in the last 30 days.
baseline,c16_virtual_u7_3_1,"C16_3.[Messaging within a website (e.g., patient portal, viber, telegram, messen"
baseline,c16_virtual_u7_4_1,C16_4.[Phone calls] was the ways of teleconsultations used in the last 30 days.
