wave,var,label
midline,c11_disease_u7_28_1,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health
midline,c11_disease_u7_29_1,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t
midline,c11_disease_u7_30_1,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed
midline,c11_disease_u7_31_1,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re
midline,c11_disease_u7_32_1,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f
midline,c11_disease_u7_33_1,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo
midline,c11_disease_u7_34_1,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th
midline,c11_disease_u7_35_1,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for
midline,c11_disease_u7_36_1,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_u7_37_1,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for
midline,c11_disease_u7_38_1,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_u7_39_1,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f
midline,c11_disease_u7_40_1,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_u7_41_1,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c
midline,c11_disease_u7_42_1,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_u7_43_1,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_u7_44_1,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_u7_45_1,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care
midline,c11_disease_u7_48_1,C11_48.[Tonsilitis] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_u7_47_1,C11_47.[Injury/dog bites] was disease diagnosed by doctor/health care provider f
midline,c11_disease_u7_46_1,C11_46.[Joint pain] was disease diagnosed by doctor/health care provider for the
midline,c12_diagnose_u7_1,C12.Diagnostic / lab tests performed [Child (1)]
midline,c13_medication_u7_1,C13.Prescribing medications [Child (1)]
midline,c14_meditake_u7_1,C14.Taking the medicines as prescribed [Child (1)]
midline,c15_format_u7_1,C15.Format of seeking medical advice/treatment [Child (1)]
midline,c15_format_u7_1_1,C15_1.[In person] was the format of health seeking in the last 30 days.
midline,c15_format_u7_2_1,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.
midline,c15_format_u7_3_1,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the
midline,c16_virtual_u7_1,C16.Ways of telemedicine consultations in  the last 30 days [Child (1)]
midline,c16_virtual_u7_1_1,C16_1.[Text Message] was the ways of teleconsultations used in the last 30 days.
midline,c16_virtual_u7_2_1,C16_2.[Email] was the ways of teleconsultations used in the last 30 days.
midline,c16_virtual_u7_3_1,"C16_3.[Messaging within a website (e.g., patient portal, viber, telegram, messen"
midline,c16_virtual_u7_4_1,C16_4.[Phone calls] was the ways of teleconsultations used in the last 30 days.
midline,c16_virtual_u7_5_1,"C16_5.[Videoconference (e.g viber, telegram, messenger)] was the ways of telecon"
midline,c16_virtual_u7_6_1,"C16_6.[Audioconference (e.g viber, telegram, messenger)] was the ways of telecon"
midline,c16_virtual_u7_7_1,C16_7.[eVisit (when you answer questions about your health issue online and hear
midline,c17_virtime_u7_1,C17.Times of telemedicine consultations in  the last 30 days [Child (1)]
midline,c18_virlast_u7_1,C18.Ways of telemedicine consultation for the most recent visit in the last 30 d
midline,c19_pertime_u7_1,C19.Times in-person consultation visits in the last 30 days [Child (1)]
midline,c20_personlast_u7_1,C20.Place of in person visist for the most recent visit in the last 30 days [Chi
midline,c21_health_u7_1,C21. Money spent on direct health care costs for the most recent visit [Child (1
midline,c22_nonhealth_u7_1,C22.Money was spent on indirect healthcare costs for the most recent visit [Chil
midline,c22b_u7_total_1,C22b.Total health care cost for primary care visits [Child (1)]
midline,c23_reimburse_u7_1,C23.Amount of money [MMK] reimbursed from main health insurance [Child (1)]
midline,c24_stopnormal_u7_1,C24.Number Days stoped normal activities because of the illness [Child (1)]
midline,c25_assist_u7_1,C25.Gov/NGO/INGO assistance for [Child (1)]
midline,c25_assist_u7_0_1,C25_0.[None] is the orgainzation where the assistance is received currently.
midline,c25_assist_u7_1_1,C25_1.[Save the children] is the orgainzation where the assistance is received c
midline,c25_assist_u7_2_1,C25_2.[LIFT] is the orgainzation where the assistance is received currently.
midline,c25_assist_u7_3_1,C25_3.[MCCT] is the orgainzation where the assistance is received currently.
midline,c25_assist_u7_4_1,C25_4.[UNICEF] is the orgainzation where the assistance is received currently.
midline,c25_assist_u7_5_1,C25_5.[World Food Program (WFP)] is the orgainzation where the assistance is rec
midline,c25_assist_u7_6_1,C25_6.[Local charity organizations] is the orgainzation where the assistance is
midline,c25_assist_u7_7_1,C25_7.[TdH] is the orgainzation where the assistance is received currently.
midline,c25_assist_u7_8_1,C25_8.[Myat Wynn Lay Myar group] is the orgainzation where the assistance is rec
midline,c25_assist_u7_9_1,C25_9.[Bright Start Program] is the orgainzation where the assistance is receive
midline,c25_assist_u7_10_1,C25_10.[PACT Myanmar] is the orgainzation where the assistance is received curre
midline,c25_assist_u7_11_1,C25_11.[ICRC] is the orgainzation where the assistance is received currently.
midline,c25_assist_u7_98_1,C25_98.Don't know the orgainzation where the assistance is received currently.
midline,c26_nonsick_u7_1,C26.The reasons of visit/interact with health care providers although [Child (1)
midline,c26_nonsick_u7_1_1,C26_1.[Under five visit with vaccination] is the reason that Under 6 children vi
midline,c26_nonsick_u7_2_1,C26_2.[Under five visit without vaccination] is the reason that Under 6 children
midline,c26_nonsick_u7_3_1,C26_3.[General check-up] is the reason that Under 6 children visit/interact with
midline,c26_nonsick_u7_4_1,C26_4.[Didn't go to heath care facillity or consult with health care provider] i
midline,c27_notconsult_u7_1,C27.The reasons that the [Child (1)] didn't seek health care although sick/injur
midline,c27_notconsult_u7_1_1,C27_1.[Not serious illness] was the reason that do not visit/interact with healt
midline,c27_notconsult_u7_2_1,C27_2.[Self-treated] was the reason that do not visit/interact with health care
midline,c27_notconsult_u7_3_1,C27_3.[No money for treatment] was the reason that do not visit/interact with he
midline,c27_notconsult_u7_4_1,C27_4.[Too far] was the reason that do not visit/interact with health care provi
midline,c27_notconsult_u7_5_1,C27_5.[Poor services] was the reason that do not visit/interact with health care
midline,c27_notconsult_u7_6_1,C27_6.[Not safe] was the reason that do not visit/interact with health care prov
midline,c27_notconsult_u7_7_1,C27_7.[Do not know can be fixed] was the reason that do not visit/interact with
midline,c27_notconsult_u7_8_1,C27_8.[Do not know where to go] was the reason that do not visit/interact with h
midline,c27_notconsult_u7_9_1,C27_9.[Too expensive] was the reason that do not visit/interact with health care
midline,c27_notconsult_u7_10_1,C27_10.[Too far] was the reason that do not visit/interact with health care prov
midline,c27_notconsult_u7_11_1,C27_11.[Could not get permission] was the reason that do not visit/interact with
midline,c27_notconsult_u7_12_1,C27_12.[Embarrassment] was the reason that do not visit/interact with health car
midline,c27_notconsult_u7_13_1,C27_13.[Problem disappeared] was the reason that do not visit/interact with heal
midline,c27_notconsult_u7_14_1,C27_14.[Didn’t want to go/ anxious] was the reason that do not visit/interact wi
midline,c27_notconsult_u7_15_1,C27_15.[Bad previous experience] was the reason that do not visit/interact with
midline,c27_notconsult_u7_16_1,C27_16.[Couldn’t stop working] was the reason that do not visit/interact with he
midline,c27_notconsult_u7_17_1,C27_17.[Had children/ other responsibilities at home] was the reason that do not
midline,c27_notconsult_u7_18_1,C27_18.[There were insufficient health care providers at the clinics/hospitals]
midline,c27_notconsult_u7_19_1,C27_19.[Doctors or health care providers didn’t allow me to come] was the reason
midline,c27_notconsult_u7_20_1,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac
midline,c27_notconsult_u7_21_1,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that
midline,c27_notconsult_u7_22_1,C27_22.[Clinics were closed] was the reason that do not visit/interact with heal
midline,c27_notconsult_u7_23_1,C27_23.[Could not get appointment or appointment was cancelled or postponed (eg.
midline,c27_notconsult_u7_24_1,C27_24.[Lack of available transportation] was the reason that do not visit/inter
midline,c27_notconsult_u7_25_1,C27_25.[Clinic/ hospital had a long wait time] was the reason that do not visit/
midline,c28_inpatient_u7_1,C28.Hospitalization during 12 months [Child (1)]
midline,c29_insu_u7_1,C29.Main (government or private) health insurance covering inpatient care[Child
midline,c30_episode_u7_1,C30.Episodes of hospitalization in the last 12 months [Child (1)]
midline,c31_disease_u7_1,C31.Reasons for hospitalization for the most recent episode [Child (1)]
midline,c31_disease_u7_1_1,C31_1.[Malaria/ fever] was the reason for hospitalization..
midline,c31_disease_u7_2_1,C31_2.[Diseases of Respiratory including pneumonia] was the reason for hospitali
midline,c31_disease_u7_3_1,C31_3.[TB] was the reason for hospitalization..
