wave,var,label,type,n_missing,pct_missing,n_unique,examples
baseline,a15_u7_relation_4,A15.Relationship with Child (4),haven_labelled,3202,99.8,2,1 | 2
baseline,a16_edu_u7,A16.What is your Highest level of education,haven_labelled,414,12.9,3,2 | 1 | 3
baseline,c10_seekcare_u7_1,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,1248,38.9,2,1 | 0
baseline,c10_seekcare_u7_2,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,2699,84.1,2,0 | 1
baseline,c10_seekcare_u7_3,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,3134,97.6,2,0 | 1
baseline,c10_seekcare_u7_4,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,3205,99.8,2,1 | 0
baseline,c11_disease_u7_1,C11.Disease diagnosed for the most recent interaction in the past 30 days [Child,character,0,0,97,3 |  | 3 8 | 3 30 | 3 11
baseline,c11_disease_u7_10_1,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_10_2,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t,haven_labelled,2932,91.3,2,1 | 0
baseline,c11_disease_u7_10_3,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_10_4,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t,haven_labelled,3207,99.9,2,0 | 1
baseline,c11_disease_u7_11_1,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_11_2,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_11_3,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_11_4,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the,haven_labelled,3207,99.9,2,1 | 0
baseline,c11_disease_u7_12_1,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_12_2,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_12_3,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_12_4,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_13_1,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_13_2,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_13_3,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_13_4,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_14_1,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_14_2,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_14_3,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_14_4,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_15_1,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_15_2,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_15_3,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_15_4,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_16_1,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_16_2,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_16_3,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_16_4,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_17_1,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto",haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_17_2,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto",haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_17_3,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto",haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_17_4,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto",haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_18_1,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_18_2,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_18_3,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_18_4,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_19_1,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_19_2,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_19_3,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_19_4,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_1_1,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_1_2,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_1_3,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_1_4,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_2,C11.Disease diagnosed for the most recent interaction in the past 30 days [Child,character,0,0,53, | 39 | 3 9 10 | 3 30 | 3 8 10
baseline,c11_disease_u7_20_1,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_20_2,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_20_3,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_20_4,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_21_1,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise",haven_labelled,2120,66,1,0
baseline,c11_disease_u7_21_2,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise",haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_21_3,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise",haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_21_4,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise",haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_22_1,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_22_2,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for,haven_labelled,2931,91.3,2,0 | 1
baseline,c11_disease_u7_22_3,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_22_4,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_23_1,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_23_2,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_23_3,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_23_4,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_24_1,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_24_2,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_24_3,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_24_4,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_25_1,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_25_2,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_25_3,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_25_4,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_26_1,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_26_2,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_26_3,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_26_4,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_27_1,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_27_2,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_27_3,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_27_4,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_28_1,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_28_2,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_28_3,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_28_4,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_29_1,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_29_2,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_29_3,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_29_4,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_2_1,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_2_2,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_2_3,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_2_4,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_3,C11.Disease diagnosed for the most recent interaction in the past 30 days [Child,character,0,0,17, | 3 | 11 | 3 8 9 | 3 8 9 10
baseline,c11_disease_u7_30_1,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed,haven_labelled,2118,66,2,0 | 1
baseline,c11_disease_u7_30_2,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed,haven_labelled,2930,91.3,2,0 | 1
baseline,c11_disease_u7_30_3,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed,haven_labelled,3167,98.7,2,0 | 1
baseline,c11_disease_u7_30_4,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_31_1,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_31_2,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re,haven_labelled,2931,91.3,2,0 | 1
baseline,c11_disease_u7_31_3,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_31_4,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_32_1,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_32_2,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_32_3,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_32_4,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_33_1,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_33_2,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_33_3,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_33_4,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_34_1,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th,haven_labelled,2119,66,2,0 | 1
baseline,c11_disease_u7_34_2,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_34_3,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_34_4,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_35_1,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_35_2,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_35_3,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_35_4,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_36_1,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_36_2,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_36_3,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_36_4,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_37_1,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_37_2,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_37_3,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_37_4,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_38_1,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_38_2,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_38_3,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_38_4,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_39_1,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_39_2,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f,haven_labelled,2931,91.3,2,1 | 0
baseline,c11_disease_u7_39_3,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f,haven_labelled,3168,98.7,2,0 | 1
baseline,c11_disease_u7_39_4,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_3_1,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen,haven_labelled,2120,66,2,1 | 0
baseline,c11_disease_u7_3_2,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen,haven_labelled,2932,91.3,2,1 | 0
baseline,c11_disease_u7_3_3,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen,haven_labelled,3169,98.7,2,1 | 0
baseline,c11_disease_u7_3_4,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen,haven_labelled,3207,99.9,2,0 | 1
baseline,c11_disease_u7_4,C11.Disease diagnosed for the most recent interaction in the past 30 days [Child,character,0,0,4, | 11 | 3 8 9 10 | 3 8
baseline,c11_disease_u7_40_1,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_40_2,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the,haven_labelled,2931,91.3,2,0 | 1
baseline,c11_disease_u7_40_3,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_40_4,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_41_1,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_41_2,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_41_3,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_41_4,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_42_1,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_42_2,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2930,91.3,2,0 | 1
baseline,c11_disease_u7_42_3,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_42_4,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_43_1,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_43_2,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_43_3,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_43_4,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_44_1,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_44_2,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2931,91.3,2,0 | 1
baseline,c11_disease_u7_44_3,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_44_4,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_45_1,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_45_2,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_45_3,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_45_4,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_4_1,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_4_2,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_4_3,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_4_4,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_5_1,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_5_2,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,2932,91.3,2,0 | 1
baseline,c11_disease_u7_5_3,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_5_4,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_6_1,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for,haven_labelled,2120,66,2,0 | 1
baseline,c11_disease_u7_6_2,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_6_3,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_6_4,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for,haven_labelled,3207,99.9,1,0
baseline,c11_disease_u7_7_1,"C11_7.[Skin diseases (e.g., boils, lesions, etc.)] was disease diagnosed by doct",haven_labelled,2120,66,2,0 | 1
