wave,var,value,value_label
midline,c31_disease_preg_11,1,Yes
midline,c31_disease_preg_12,0,No
midline,c31_disease_preg_12,1,Yes
midline,c31_disease_preg_13,0,No
midline,c31_disease_preg_13,1,Yes
midline,c31_disease_preg_14,0,No
midline,c31_disease_preg_14,1,Yes
midline,c31_disease_preg_15,0,No
midline,c31_disease_preg_15,1,Yes
midline,c31_disease_preg_16,0,No
midline,c31_disease_preg_16,1,Yes
midline,c31_disease_preg_17,0,No
midline,c31_disease_preg_17,1,Yes
midline,c31_disease_preg_18,0,No
midline,c31_disease_preg_18,1,Yes
midline,c31_disease_preg_19,0,No
midline,c31_disease_preg_19,1,Yes
midline,c31_disease_preg_20,0,No
midline,c31_disease_preg_20,1,Yes
midline,c31_disease_preg_21,0,No
midline,c31_disease_preg_21,1,Yes
midline,c31_disease_preg_22,0,No
midline,c31_disease_preg_22,1,Yes
midline,c31_disease_preg_23,0,No
midline,c31_disease_preg_23,1,Yes
midline,c31_disease_preg_24,0,No
midline,c31_disease_preg_24,1,Yes
midline,c31_disease_preg_25,0,No
midline,c31_disease_preg_25,1,Yes
midline,c31_disease_preg_26,0,No
midline,c31_disease_preg_26,1,Yes
midline,c31_disease_preg_27,0,No
midline,c31_disease_preg_27,1,Yes
midline,c31_disease_preg_28,0,No
midline,c31_disease_preg_28,1,Yes
midline,c31_disease_preg_29,0,No
midline,c31_disease_preg_29,1,Yes
midline,c31_disease_preg_30,0,No
midline,c31_disease_preg_30,1,Yes
midline,c31_disease_preg_31,0,No
midline,c31_disease_preg_31,1,Yes
midline,c31_disease_preg_32,0,No
midline,c31_disease_preg_32,1,Yes
midline,c31_disease_preg_33,0,No
midline,c31_disease_preg_33,1,Yes
midline,c31_disease_preg_34,0,No
midline,c31_disease_preg_34,1,Yes
midline,c31_disease_preg_35,0,No
midline,c31_disease_preg_35,1,Yes
midline,c31_disease_preg_36,0,No
midline,c31_disease_preg_36,1,Yes
midline,c31_disease_preg_37,0,No
midline,c31_disease_preg_37,1,Yes
midline,c31_disease_preg_38,0,No
midline,c31_disease_preg_38,1,Yes
midline,c31_disease_preg_39,0,No
midline,c31_disease_preg_39,1,Yes
midline,c31_disease_preg_40,0,No
midline,c31_disease_preg_40,1,Yes
midline,c31_disease_preg_41,0,No
midline,c31_disease_preg_41,1,Yes
midline,c31_disease_preg_42,0,No
midline,c31_disease_preg_42,1,Yes
midline,c32_opd_preg,0,No
midline,c32_opd_preg,1,Yes
midline,c33_hospital_preg,1,Government hospitals
midline,c33_hospital_preg,2,Government Maternal and child hospital
midline,c33_hospital_preg,3,Children Hospital
midline,c33_hospital_preg,4,Workers’ hospitals
midline,c33_hospital_preg,5,Private hospitals
midline,c33_hospital_preg,6,Traditional Medicine Hospitals
midline,c33_hospital_preg,7,Military Hospital
midline,c33_hospital_preg,8,Charity Hospital
midline,c33_hospital_preg,9,Facility Covid Center/quarantine center
midline,c33_hospital_preg,10,Birth Center
midline,c33_hospital_preg,97,Prefer not to answer
midline,c33_hospital_preg,98,Don’t know
midline,c33_hospital_preg,99,Other (Specify)
midline,c8_illyesno_u7_1,0,No
midline,c8_illyesno_u7_1,1,Yes
midline,c9_insu_u7_1,0,No insurance
midline,c9_insu_u7_1,1,Social Security
midline,c9_insu_u7_1,2,Health Insurance through Employer
midline,c9_insu_u7_1,3,Other Privately Purchased Commercial Health Insurance
midline,c9_insu_u7_1,4,Mutual Health Organization/ Community-based Health Insurance
midline,c9_insu_u7_1,5,Bright Start Program
midline,c9_insu_u7_1,98,Don’t know
midline,c9_insu_u7_1,99,Other (Specify):
midline,c10_seekcare_u7_1,0,No
midline,c10_seekcare_u7_1,1,Yes
midline,c11_disease_u7_1_1,0,No
midline,c11_disease_u7_1_1,1,Yes
midline,c11_disease_u7_2_1,0,No
midline,c11_disease_u7_2_1,1,Yes
midline,c11_disease_u7_3_1,0,No
midline,c11_disease_u7_3_1,1,Yes
midline,c11_disease_u7_4_1,0,No
midline,c11_disease_u7_4_1,1,Yes
midline,c11_disease_u7_5_1,0,No
midline,c11_disease_u7_5_1,1,Yes
midline,c11_disease_u7_6_1,0,No
midline,c11_disease_u7_6_1,1,Yes
midline,c11_disease_u7_7_1,0,No
midline,c11_disease_u7_7_1,1,Yes
midline,c11_disease_u7_8_1,0,No
midline,c11_disease_u7_8_1,1,Yes
midline,c11_disease_u7_9_1,0,No
midline,c11_disease_u7_9_1,1,Yes
midline,c11_disease_u7_10_1,0,No
midline,c11_disease_u7_10_1,1,Yes
midline,c11_disease_u7_11_1,0,No
midline,c11_disease_u7_11_1,1,Yes
midline,c11_disease_u7_12_1,0,No
midline,c11_disease_u7_12_1,1,Yes
midline,c11_disease_u7_13_1,0,No
midline,c11_disease_u7_13_1,1,Yes
midline,c11_disease_u7_14_1,0,No
midline,c11_disease_u7_14_1,1,Yes
midline,c11_disease_u7_15_1,0,No
midline,c11_disease_u7_15_1,1,Yes
midline,c11_disease_u7_16_1,0,No
midline,c11_disease_u7_16_1,1,Yes
midline,c11_disease_u7_17_1,0,No
midline,c11_disease_u7_17_1,1,Yes
midline,c11_disease_u7_18_1,0,No
midline,c11_disease_u7_18_1,1,Yes
midline,c11_disease_u7_19_1,0,No
midline,c11_disease_u7_19_1,1,Yes
midline,c11_disease_u7_20_1,0,No
midline,c11_disease_u7_20_1,1,Yes
midline,c11_disease_u7_21_1,0,No
midline,c11_disease_u7_21_1,1,Yes
midline,c11_disease_u7_22_1,0,No
midline,c11_disease_u7_22_1,1,Yes
midline,c11_disease_u7_23_1,0,No
midline,c11_disease_u7_23_1,1,Yes
midline,c11_disease_u7_24_1,0,No
midline,c11_disease_u7_24_1,1,Yes
midline,c11_disease_u7_25_1,0,No
midline,c11_disease_u7_25_1,1,Yes
midline,c11_disease_u7_26_1,0,No
midline,c11_disease_u7_26_1,1,Yes
midline,c11_disease_u7_27_1,0,No
midline,c11_disease_u7_27_1,1,Yes
midline,c11_disease_u7_28_1,0,No
midline,c11_disease_u7_28_1,1,Yes
midline,c11_disease_u7_29_1,0,No
midline,c11_disease_u7_29_1,1,Yes
midline,c11_disease_u7_30_1,0,No
midline,c11_disease_u7_30_1,1,Yes
midline,c11_disease_u7_31_1,0,No
midline,c11_disease_u7_31_1,1,Yes
midline,c11_disease_u7_32_1,0,No
midline,c11_disease_u7_32_1,1,Yes
midline,c11_disease_u7_33_1,0,No
midline,c11_disease_u7_33_1,1,Yes
midline,c11_disease_u7_34_1,0,No
midline,c11_disease_u7_34_1,1,Yes
midline,c11_disease_u7_35_1,0,No
midline,c11_disease_u7_35_1,1,Yes
midline,c11_disease_u7_36_1,0,No
midline,c11_disease_u7_36_1,1,Yes
midline,c11_disease_u7_37_1,0,No
midline,c11_disease_u7_37_1,1,Yes
midline,c11_disease_u7_38_1,0,No
midline,c11_disease_u7_38_1,1,Yes
midline,c11_disease_u7_39_1,0,No
midline,c11_disease_u7_39_1,1,Yes
midline,c11_disease_u7_40_1,0,No
midline,c11_disease_u7_40_1,1,Yes
midline,c11_disease_u7_41_1,0,No
midline,c11_disease_u7_41_1,1,Yes
midline,c11_disease_u7_42_1,0,No
midline,c11_disease_u7_42_1,1,Yes
midline,c11_disease_u7_43_1,0,No
midline,c11_disease_u7_43_1,1,Yes
midline,c11_disease_u7_44_1,0,No
midline,c11_disease_u7_44_1,1,Yes
midline,c11_disease_u7_45_1,0,No
midline,c11_disease_u7_45_1,1,Yes
midline,c11_disease_u7_48_1,0,No
midline,c11_disease_u7_48_1,1,Yes
midline,c11_disease_u7_47_1,0,No
midline,c11_disease_u7_47_1,1,Yes
midline,c11_disease_u7_46_1,0,No
midline,c11_disease_u7_46_1,1,Yes
midline,c12_diagnose_u7_1,0,No
midline,c12_diagnose_u7_1,1,Yes
midline,c13_medication_u7_1,0,No
midline,c13_medication_u7_1,1,Yes
midline,c14_meditake_u7_1,0,No
midline,c14_meditake_u7_1,1,Yes
midline,c15_format_u7_1_1,0,No
midline,c15_format_u7_1_1,1,Yes
midline,c15_format_u7_2_1,0,No
midline,c15_format_u7_2_1,1,Yes
midline,c15_format_u7_3_1,0,No
midline,c15_format_u7_3_1,1,Yes
midline,c16_virtual_u7_1_1,0,No
midline,c16_virtual_u7_1_1,1,Yes
midline,c16_virtual_u7_2_1,0,No
midline,c16_virtual_u7_2_1,1,Yes
midline,c16_virtual_u7_3_1,0,No
midline,c16_virtual_u7_3_1,1,Yes
midline,c16_virtual_u7_4_1,0,No
midline,c16_virtual_u7_4_1,1,Yes
midline,c16_virtual_u7_5_1,0,No
midline,c16_virtual_u7_5_1,1,Yes
midline,c16_virtual_u7_6_1,0,No
midline,c16_virtual_u7_6_1,1,Yes
midline,c16_virtual_u7_7_1,0,No
midline,c16_virtual_u7_7_1,1,Yes
midline,c18_virlast_u7_1,1,Text Message
midline,c18_virlast_u7_1,2,Email
midline,c18_virlast_u7_1,3,"Messaging within a website (e.g., patient portal, viber, telegram, messenger)"
midline,c18_virlast_u7_1,4,Phone calls
midline,c18_virlast_u7_1,5,"Videoconference (e.g viber, telegram, messenger)"
midline,c18_virlast_u7_1,6,"Audioconference (e.g viber, telegram, messenger)"
midline,c18_virlast_u7_1,7,eVisit (when you answer questions about your health issue online and hear back from a doctor later)
midline,c20_personlast_u7_1,1,Gov’t hospital
midline,c20_personlast_u7_1,2,Gov’t rural health center (RHC)
midline,c20_personlast_u7_1,3,Peri-urban Health Center
midline,c20_personlast_u7_1,4,Maternal and Child Health Clinic/ Hospital
midline,c20_personlast_u7_1,5,Family Planning Clinic
midline,c20_personlast_u7_1,6,Birth Center
midline,c20_personlast_u7_1,7,Private Hospital/ Clinic
midline,c20_personlast_u7_1,8,Private Doctor’s Office
midline,c20_personlast_u7_1,9,Traditional Medicine Hospitals
midline,c20_personlast_u7_1,10,Traditional Medicine Clinics
midline,c20_personlast_u7_1,11,Patient’s Home
midline,c20_personlast_u7_1,12,Provider’s home or store
midline,c20_personlast_u7_1,13,Charity clinics
midline,c20_personlast_u7_1,14,Military hospital
midline,c20_personlast_u7_1,15,Social Security Clinics
midline,c20_personlast_u7_1,16,Workers' Hospital
midline,c20_personlast_u7_1,17,Midwife
midline,c25_assist_u7_0_1,0,No
midline,c25_assist_u7_0_1,1,Yes
midline,c25_assist_u7_1_1,0,No
midline,c25_assist_u7_1_1,1,Yes
midline,c25_assist_u7_2_1,0,No
midline,c25_assist_u7_2_1,1,Yes
midline,c25_assist_u7_3_1,0,No
midline,c25_assist_u7_3_1,1,Yes
midline,c25_assist_u7_4_1,0,No
midline,c25_assist_u7_4_1,1,Yes
midline,c25_assist_u7_5_1,0,No
midline,c25_assist_u7_5_1,1,Yes
midline,c25_assist_u7_6_1,0,No
midline,c25_assist_u7_6_1,1,Yes
midline,c25_assist_u7_7_1,0,No
midline,c25_assist_u7_7_1,1,Yes
midline,c25_assist_u7_8_1,0,No
midline,c25_assist_u7_8_1,1,Yes
midline,c25_assist_u7_9_1,0,No
midline,c25_assist_u7_9_1,1,Yes
midline,c25_assist_u7_10_1,0,No
midline,c25_assist_u7_10_1,1,Yes
midline,c25_assist_u7_11_1,0,No
midline,c25_assist_u7_11_1,1,Yes
midline,c25_assist_u7_98_1,0,No
midline,c25_assist_u7_98_1,1,Yes
midline,c26_nonsick_u7_1_1,0,No
midline,c26_nonsick_u7_1_1,1,Yes
midline,c26_nonsick_u7_2_1,0,No
midline,c26_nonsick_u7_2_1,1,Yes
midline,c26_nonsick_u7_3_1,0,No
midline,c26_nonsick_u7_3_1,1,Yes
midline,c26_nonsick_u7_4_1,0,No
midline,c26_nonsick_u7_4_1,1,Yes
midline,c27_notconsult_u7_1_1,0,No
midline,c27_notconsult_u7_1_1,1,Yes
midline,c27_notconsult_u7_2_1,0,No
midline,c27_notconsult_u7_2_1,1,Yes
midline,c27_notconsult_u7_3_1,0,No
midline,c27_notconsult_u7_3_1,1,Yes
midline,c27_notconsult_u7_4_1,0,No
midline,c27_notconsult_u7_4_1,1,Yes
midline,c27_notconsult_u7_5_1,0,No
midline,c27_notconsult_u7_5_1,1,Yes
midline,c27_notconsult_u7_6_1,0,No
midline,c27_notconsult_u7_6_1,1,Yes
midline,c27_notconsult_u7_7_1,0,No
midline,c27_notconsult_u7_7_1,1,Yes
midline,c27_notconsult_u7_8_1,0,No
midline,c27_notconsult_u7_8_1,1,Yes
midline,c27_notconsult_u7_9_1,0,No
midline,c27_notconsult_u7_9_1,1,Yes
midline,c27_notconsult_u7_10_1,0,No
midline,c27_notconsult_u7_10_1,1,Yes
midline,c27_notconsult_u7_11_1,0,No
midline,c27_notconsult_u7_11_1,1,Yes
midline,c27_notconsult_u7_12_1,0,No
midline,c27_notconsult_u7_12_1,1,Yes
midline,c27_notconsult_u7_13_1,0,No
midline,c27_notconsult_u7_13_1,1,Yes
midline,c27_notconsult_u7_14_1,0,No
midline,c27_notconsult_u7_14_1,1,Yes
midline,c27_notconsult_u7_15_1,0,No
midline,c27_notconsult_u7_15_1,1,Yes
midline,c27_notconsult_u7_16_1,0,No
midline,c27_notconsult_u7_16_1,1,Yes
midline,c27_notconsult_u7_17_1,0,No
midline,c27_notconsult_u7_17_1,1,Yes
midline,c27_notconsult_u7_18_1,0,No
midline,c27_notconsult_u7_18_1,1,Yes
midline,c27_notconsult_u7_19_1,0,No
midline,c27_notconsult_u7_19_1,1,Yes
midline,c27_notconsult_u7_20_1,0,No
midline,c27_notconsult_u7_20_1,1,Yes
midline,c27_notconsult_u7_21_1,0,No
midline,c27_notconsult_u7_21_1,1,Yes
midline,c27_notconsult_u7_22_1,0,No
midline,c27_notconsult_u7_22_1,1,Yes
midline,c27_notconsult_u7_23_1,0,No
midline,c27_notconsult_u7_23_1,1,Yes
midline,c27_notconsult_u7_24_1,0,No
midline,c27_notconsult_u7_24_1,1,Yes
midline,c27_notconsult_u7_25_1,0,No
midline,c27_notconsult_u7_25_1,1,Yes
midline,c28_inpatient_u7_1,0,No
midline,c28_inpatient_u7_1,1,Yes
midline,c29_insu_u7_1,0,No insurance
midline,c29_insu_u7_1,1,Social Security
midline,c29_insu_u7_1,2,Health Insurance through Employer
midline,c29_insu_u7_1,3,Other Privately Purchased Commercial Health Insurance
midline,c29_insu_u7_1,4,Mutual Health Organization/ Community-based Health Insurance
midline,c29_insu_u7_1,5,Bright Start Program
midline,c29_insu_u7_1,98,Don’t know
midline,c29_insu_u7_1,99,Other (Specify):
midline,c31_disease_u7_1_1,0,No
midline,c31_disease_u7_1_1,1,Yes
midline,c31_disease_u7_2_1,0,No
midline,c31_disease_u7_2_1,1,Yes
midline,c31_disease_u7_3_1,0,No
midline,c31_disease_u7_3_1,1,Yes
midline,c31_disease_u7_4_1,0,No
midline,c31_disease_u7_4_1,1,Yes
midline,c31_disease_u7_5_1,0,No
midline,c31_disease_u7_5_1,1,Yes
midline,c31_disease_u7_6_1,0,No
